City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,261,Aswan,24.0934,32.907,89.49,17,27,8.7,EG,2022-07-28 05:27:42
262,262,Severo-Kurilsk,50.6789,156.125,54.9,88,91,6.78,RU,2022-07-28 05:27:42
263,263,Culaman,5.9603,125.6586,84.25,76,92,8.05,PH,2022-07-28 05:27:43
264,264,Kutum,14.2,24.6667,72.68,65,90,5.3,SD,2022-07-28 05:27:43
265,265,Uruguaiana,-29.7547,-57.0883,67.93,88,0,5.75,BR,2022-07-28 05:27:43
266,266,Nemuro,43.3236,145.575,65.01,92,45,4.63,JP,2022-07-28 05:27:44
267,267,Erzurum,40.0,41.5,60.48,52,0,1.92,TR,2022-07-28 05:27:44
268,268,Nanortalik,60.1432,-45.2371,42.13,87,98,9.44,GL,2022-07-28 05:27:45
269,269,Shetpe,44.1667,52.1167,77.04,52,100,8.86,KZ,2022-07-28 05:28:45
270,270,Tura,25.5198,90.2201,82.4,81,39,4.16,IN,2022-07-28 05:28:45
271,271,Namibe,-15.1961,12.1522,60.76,79,75,6.76,AO,2022-07-28 05:28:46
272,272,Camana,-16.6228,-72.7111,59.32,87,47,9.78,PE,2022-07-28 05:28:46
273,273,Kolokani,13.5728,-8.0339,75.24,88,46,9.82,ML,2022-07-28 05:28:47
274,274,Trelew,-43.249,-65.3051,39.15,81,22,14.76,AR,2022-07-28 05:28:47
275,275,Lisala,2.15,21.5167,70.0,97,100,2.64,CD,2022-07-28 05:28:47
276,276,Rioja,-29.4111,-66.8507,52.05,76,57,3.44,AR,2022-07-28 05:28:48
277,277,Gazanjyk,39.2446,55.5154,91.83,27,32,10.51,TM,2022-07-28 05:28:48
278,278,Abu Kamal,34.4506,40.9171,92.53,14,0,6.71,SY,2022-07-28 05:28:49
279,279,Sergeyevka,53.88,67.4158,63.36,80,88,14.41,KZ,2022-07-28 05:28:49
280,280,Harper,4.375,-7.7169,75.02,72,100,9.64,LR,2022-07-28 05:28:16
281,281,Mandalgovi,45.7625,106.2708,77.4,25,43,13.67,MN,2022-07-28 05:28:50
282,282,Benguela,-12.5763,13.4055,66.58,92,95,2.06,AO,2022-07-28 05:28:50
283,283,Upernavik,72.7868,-56.1549,40.35,84,100,1.05,GL,2022-07-28 05:28:51
284,284,Sorland,67.667,12.6934,49.86,75,46,10.98,NO,2022-07-28 05:28:51
285,285,Loandjili,-4.7561,11.8578,68.11,94,100,2.3,CG,2022-07-28 05:28:51
286,286,Luziania,-16.2525,-47.9503,55.09,59,0,3.24,BR,2022-07-28 05:28:52
287,287,Khani,41.9563,42.9566,63.97,67,7,2.59,GE,2022-07-28 05:28:52
